Hydro_condition;plot_ident;Yield_Cor;Bloc;N_spike_m2;PMG;N_kernel_m2;mean_N_kernel;mean_W_kernel;mean_N_spikelet;mean_Fertility_rate;mean_L_stem;mean_H_spike;mean_H_plant;V_H_plant
R;42;549,3489474;H3;314,2414861;50,7118928;2592127,429;28;1,644;20,11111111;91,25;72,04;6,61;78,65;57,75388889
R;35;499,8946989;G3;294,1176471;52,41235392;3926374,471;29,5;1,567;20,4;87,5;73,03;6,57;79,6;126,4888889
R;27;454,4333684;G3;255,4179567;52,28905597;10310556,03;29,6;1,441;19,4;92,5;66,62;6,45;73,07;155,3756667
R;13;NA;F3;335,9133127;53,26086957;5646902,694;31,6;1,735;21,4;92,5;78,74;7,74;86,48;75,47066667
R;9;585,5635516;E3;329,7213622;56,41541039;21627271,42;32,4;1,653;20,4;91,25;74,17;6,95;81,12;57,324
R;14;632,1711961;F3;278,6377709;52,57142857;13565259,9;31,5;1,525;19,6;90,625;71,4;6,9;78,3;48,20444444
R;12;387,190574;E3;258,5139319;55,73964497;9558468,15;34,44444444;1,793333333;21,22222222;88,88888889;77,01111111;7,655555556;84,66666667;9,745
R;6;515,8900526;E3;328,1733746;50,97662771;9655702,846;26,9;1,363;19;82,5;73,87;6,86;80,73;52,25344444
R;16;594,8417263;F3;349,8452012;54,65994962;18402946,71;35,11111111;1,891111111;21,22222222;94,44444444;77,02222222;7,444444444;84,46666667;86,53
R;26;480,5120416;G3;235,2941176;52,20538721;3028988,85;19,4;1,114;18,2;82,8125;70,11;5,83;75,94;48,30266667
R;22;416,2666382;F3;301,8575851;51,00833333;11233837,19;28,8;1,517;19,8;90,27777778;75,32;6,8;82,12;60,46177778
R;21;437,1800171;F3;329,7213622;54,76793249;11238836,76;29,6;1,659;19;98,75;71,25;6,51;77,76;46,78266667
R;24;580,7194105;F3;258,5139319;53,02598491;6639134,879;35,3;1,833;20;91,25;68,66;6,8;75,46;43,176
